뉴스  url,제목,내용,날짜
http://news.kbs.co.kr/news/view.do?ncd=7910511,온라인 고용 플랫폼 ‘고용24’ 시범운영 개시…모바일서도 이용 가능,"구인·구직과 실업급여, 직업훈련 등 100여 종의 고용서비스를 한 곳에서 이용할 수 있는 ...",2024.03.11 (17:17)
http://news.kbs.co.kr/news/view.do?ncd=7910510,정부 “후쿠시마 5차 방류 교차 검증 참여”,"국제원자력기구, IAEA가 일본 후쿠시마 제1원자력발전소 오염수 5차 방류의 샘플을 교차 ...",2024.03.11 (17:15)
http://news.kbs.co.kr/news/view.do?ncd=7910509,‘야간에 무단 외출’ 조두순에 징역 1년 구형,야간외출 제한 명령을 어기고 집을 나섰다가 재판에 넘겨진 아동 성범죄자 조두순에게 검찰이 ...,2024.03.11 (17:14)
http://news.kbs.co.kr/news/view.do?ncd=7910508,"공정위, 에어비앤비 제재…“회사 주소·연락처 제대로 공개 안 해”", [앵커] 공정거래위원회가 숙박 공유 서비스 에어비앤비가 전자상거래법을 어긴  사실을 적발...,2024.03.11 (17:13)
http://news.kbs.co.kr/news/view.do?ncd=7910507,"금감원, 홍콩 ELS 배상기준 발표…“판매사·투자자별 차등 적용 0~100%”",,2024.03.11 (17:11)
http://news.kbs.co.kr/news/view.do?ncd=7910506,시금치는 왜 금값이 되었나,농산물 가격이 물가에 부담이 되고 있습니다. 설을 앞두고 사과 배 값이 너무 올랐다고 연일...,2024.03.11 (17:11)
http://news.kbs.co.kr/news/view.do?ncd=7910505,‘논란의 수능 23번’…“평가원 사전 검증 못하고 사후 이의 제기는 뭉개”, [앵커] 현직 고등학교 교사들이 입시업체로부터  뒷돈을 받고  모의고사 문제를 제공하는 ...,2024.03.11 (17:10)
http://news.kbs.co.kr/news/view.do?ncd=7910503,연금개혁안 두 가지로 압축…‘더 내고 더 받기’ vs ‘더 내고 그대로 받기’, [앵커] 국민연금을 어떻게 개혁할지 국회 위원회에서 두 가지 안을 내놓았습니다. 보험료를...,2024.03.11 (17:07)
http://news.kbs.co.kr/news/view.do?ncd=7910502,손명순 여사 영결식…김영삼 전 대통령 묘역 합장,지난 7일 향년 95세를 일기로 별세한 김영삼 전 대통령의 부인 고 손명순 여사가 영면에 ...,2024.03.11 (17:06)
http://news.kbs.co.kr/news/view.do?ncd=7910501,‘좋은 후보’ 선정 위한 유권자운동본부 출범,4월 총선을 앞두고 '좋은후보 선정을 위한 시민유권자운동본부'가 출범했습니다.범시민사회단체...,2024.03.11 (17:05)
http://news.kbs.co.kr/news/view.do?ncd=7910500,[총선] 야 “외교·법무 장관 고발·탄핵”…충남서 표심 몰이," [앵커] 더불어민주당은 이종섭 호주 대사 내정자가 출국한 것을 두고 ""국가 권력을 이용한...",2024.03.11 (17:04)
http://news.kbs.co.kr/news/view.do?ncd=7910499,[총선] 여 “‘이재명 셀프공천’이 패륜공천…위성정당으로 ‘종북횡재’”, [앵커] 국민의힘은  이재명 대표가 스스로를 공천한 것이야말로 패륜공천이라며 민주당 공세...,2024.03.11 (17:03)
http://news.kbs.co.kr/news/view.do?ncd=7910498,"틱톡·메타, 방심위 차단 요청 ‘대통령 허위조작 영상’ 모두 삭제",틱톡과 메타(인스타그램) 등 글로벌 플랫폼사들이 윤석열 대통령의 모습이 등장하는 짜깁기된 ...,2024.03.11 (17:02)
http://news.kbs.co.kr/news/view.do?ncd=7910497,“군의관·공보의 투입” vs “지역 주민·군인 생명 경시”, [앵커] 정부가 복귀 명령을 거부한 전공의 5천 명에게 행정처분 사전 통지서를 발송했습니...,2024.03.11 (17:00)
